Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
53286,3826912,HL198048,02/23/2005 04:35:30 PM,031XX N CLARK ST,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,False,False,2332,19.0,44.0,6.0,06,1170283.0,1920956.0,2005,02/28/2018 03:56:25 PM,41.93859561,-87.649576033,"(41.93859561, -87.649576033)"
53287,6016326,HP119848,01/12/2008 07:50:00 AM,007XX N CHRISTIANA AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,True,False,1121,11.0,27.0,23.0,18,1153910.0,1904728.0,2008,02/10/2018 03:50:01 PM,41.894407178,-87.710184131,"(41.894407178, -87.710184131)"
53288,10508083,HZ248213,05/02/2016 11:00:00 AM,038XX W CHICAGO AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,1112,11.0,27.0,23.0,04B,1150674.0,1905068.0,2016,02/10/2018 03:50:01 PM,41.895404051,-87.722060175,"(41.895404051, -87.722060175)"
53289,10722280,HZ480911,10/19/2016 05:50:00 AM,076XX S MARQUETTE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,421,4.0,7.0,43.0,14,1195650.0,1854864.0,2016,02/10/2018 03:50:01 PM,41.756644169,-87.558539803,"(41.756644169, -87.558539803)"
53290,6135261,HP226966,03/15/2008 02:35:00 PM,040XX S ARCHER AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,True,False,912,9.0,12.0,58.0,08B,1158443.0,1877720.0,2008,02/28/2018 03:56:25 PM,41.820202826,-87.694274011,"(41.820202826, -87.694274011)"
53291,1552099,G307785,05/28/2001 01:00:00 PM,037XX N PULASKI RD,0460,BATTERY,SIMPLE,APARTMENT,True,True,1732,17.0,,,08B,1149098.0,1924694.0,2001,08/17/2015 03:03:40 PM,41.949290264,-87.727339103,"(41.949290264, -87.727339103)"
53292,5476193,HN298781,04/22/2007 04:22:00 PM,065XX W DIVERSEY AVE,0460,BATTERY,SIMPLE,DRIVEWAY - RESIDENTIAL,True,False,2511,25.0,36.0,19.0,08B,1132106.0,1917896.0,2007,02/28/2018 03:56:25 PM,41.930948469,-87.789958559,"(41.930948469, -87.789958559)"
53293,10795976,HZ566754,12/27/2016 03:43:00 PM,006XX W 66TH ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,723,7.0,6.0,68.0,26,1172985.0,1861119.0,2016,02/10/2018 03:50:01 PM,41.774338758,-87.641417786,"(41.774338758, -87.641417786)"
53294,4539224,HM128186,01/16/2006 10:15:00 PM,044XX W FULLERTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,True,False,2524,25.0,31.0,20.0,18,1146203.0,1915585.0,2006,02/28/2018 03:56:25 PM,41.924350021,-87.738213231,"(41.924350021, -87.738213231)"
53295,1501839,G242404,04/28/2001 01:20:00 PM,071XX S EBERHART AV,0460,BATTERY,SIMPLE,STREET,False,True,323,3.0,,,08B,1180775.0,1857648.0,2001,08/17/2015 03:03:40 PM,41.764638446,-87.612967811,"(41.764638446, -87.612967811)"
53296,7719451,HS518885,07/21/2010 09:00:00 AM,063XX N NAGLE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,1611,16.0,41.0,10.0,11,1132627.0,1941621.0,2010,02/10/2018 03:50:01 PM,41.996043193,-87.787488548,"(41.996043193, -87.787488548)"
53297,9268267,HW413372,08/18/2013 06:30:00 PM,040XX W ROOSEVELT RD,2820,OTHER OFFENSE,TELEPHONE THREAT,CONVENIENCE STORE,False,True,1132,11.0,24.0,29.0,26,1149452.0,1894398.0,2013,02/10/2018 03:50:01 PM,41.866148185,-87.726825268,"(41.866148185, -87.726825268)"
53298,2390747,HH701791,10/07/2002 07:00:00 PM,079XX S PHILLIPS AVE,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,APARTMENT,False,False,422,4.0,7.0,46.0,20,1193902.0,1852910.0,2002,02/28/2018 03:56:25 PM,41.75132526,-87.56500972,"(41.75132526, -87.56500972)"
53299,9005538,HW152814,02/11/2013 04:15:00 PM,001XX S CANAL ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,True,False,121,1.0,2.0,28.0,06,1173162.0,1899653.0,2013,02/10/2018 03:50:01 PM,41.880075611,-87.639628321,"(41.880075611, -87.639628321)"
53300,7873040,HT104055,01/03/2011 08:45:00 PM,079XX S CHAMPLAIN AVE,0820,THEFT,$500 AND UNDER,STREET,False,True,624,6.0,6.0,44.0,06,1181939.0,1852602.0,2011,02/04/2016 06:33:39 AM,41.750764865,-87.608857231,"(41.750764865, -87.608857231)"
53301,10402661,HZ138996,02/03/2016 01:01:00 PM,038XX S WELLS ST,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA APARTMENT,True,False,915,9.0,3.0,34.0,18,1175276.0,1879274.0,2016,02/10/2018 03:50:01 PM,41.824106989,-87.632476787,"(41.824106989, -87.632476787)"
53302,4273999,HL590086,09/03/2005 09:00:02 PM,085XX S ESCANABA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,423,4.0,10.0,46.0,04B,1196967.0,1848897.0,2005,02/10/2018 03:50:01 PM,41.740237627,-87.553911438,"(41.740237627, -87.553911438)"
53303,6252566,HP340480,05/17/2008 04:00:00 AM,009XX W ALTGELD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1933,19.0,43.0,7.0,14,1169560.0,1916803.0,2008,02/28/2018 03:56:25 PM,41.92721538,-87.652354443,"(41.92721538, -87.652354443)"
53304,7328245,HS125759,01/18/2010 10:00:00 AM,065XX S CALIFORNIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,831,8.0,15.0,66.0,14,1158837.0,1861161.0,2010,02/10/2018 03:50:01 PM,41.774754665,-87.693280939,"(41.774754665, -87.693280939)"
53305,5848316,HN657299,10/19/2007 09:00:00 AM,049XX W DIVISION ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,False,False,1531,15.0,37.0,25.0,26,1143286.0,1907537.0,2007,02/10/2018 03:50:01 PM,41.902320502,-87.749133059,"(41.902320502, -87.749133059)"
53306,1942104,HH127936,01/15/2002 02:00:00 AM,028XX W GLENLAKE AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,2413,24.0,,,07,1156484.0,1940379.0,2002,02/28/2018 03:56:25 PM,41.992184245,-87.699762773,"(41.992184245, -87.699762773)"
53307,4907040,HM523380,08/06/2006 09:00:00 AM,025XX N MONTICELLO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2524,25.0,35.0,22.0,08B,1151622.0,1916552.0,2006,02/28/2018 03:56:25 PM,41.926898623,-87.718275922,"(41.926898623, -87.718275922)"
53308,7862744,HS677549,12/27/2010 02:45:00 AM,030XX E 95TH ST,4510,OTHER OFFENSE,PROBATION VIOLATION,STREET,True,False,431,4.0,10.0,51.0,26,1198480.0,1842548.0,2010,02/10/2018 03:50:01 PM,41.722777732,-87.548580202,"(41.722777732, -87.548580202)"
53309,1616607,G392367,07/05/2001 05:14:42 PM,097XX S PRAIRIE AV,0460,BATTERY,SIMPLE,RESIDENCE,False,True,511,5.0,,,08B,1179684.0,1840143.0,2001,08/17/2015 03:03:40 PM,41.716627665,-87.617500283,"(41.716627665, -87.617500283)"
53310,11152573,JA516126,11/17/2017 08:30:00 PM,0000X W CERMAK RD,0820,THEFT,$500 AND UNDER,STREET,False,False,131,1.0,3.0,33.0,06,1176335.0,1889776.0,2017,02/10/2018 03:50:01 PM,41.852901521,-87.628275435,"(41.852901521, -87.628275435)"
53311,7650091,HS447137,08/05/2010 01:30:00 PM,0000X W CHECKPOINT 6 ST,0890,THEFT,FROM BUILDING,AIRPORT/AIRCRAFT,False,False,1653,16.0,41.0,76.0,06,1101375.0,1934091.0,2010,02/10/2018 03:50:01 PM,41.97586893,-87.902593203,"(41.97586893, -87.902593203)"
53312,9343232,HW486919,10/10/2013 12:35:00 AM,016XX N DAMEN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1434,14.0,32.0,24.0,08B,1162762.0,1911133.0,2013,02/10/2018 03:50:01 PM,41.911801955,-87.677493523,"(41.911801955, -87.677493523)"
